#Tmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17
TIMESTEP,MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C)
1980-10-01T00:00:00Z,21.15948736,21.69255171,23.15772358,22.93003524,23.26072552,23.00423726,21.19937729,23.46891143,22.64360994,22.26197673,23.1301316,23.33518573,21.60923104,22.90630186,22.327885,22.93714669,21.97452833,2.849414962,1.455464382,0.7757496795,1.967200099,0.3102217761,0.09159726716,1.311399977,0.3016503269,1.529506673,1.343842932,0.7977696612,0.8022312765,1.506475094,1.49456826,2.350928385,1.868933306,0.2479756943,1.688021019,1.206426285,0.8807665295,1.402569107,0.5569755615,0.3026504042,1.145163734,0.5492270268,1.236732256,1.159242396,0.8931795235,0.895673644,1.227385471,1.222525362,1.533273748,1.367089356,0.4979715798
1980-11-01T00:00:00Z,20.85948722,20.03379307,19.63062114,20.70895713,19.62442669,18.88118647,20.87815019,19.77225092,20.23372849,20.37210756,19.51313683,20.08669241,20.85009956,20.2617413,20.47232191,20.45939947,20.7381133,0.6260639713,1.986406768,0.9198260009,0.2012343959,0.8435115548,0.7748037456,0.07844548349,0.3805082569,0.5804632997,0.5669585661,0.7520389761,0.4540064149,0.154877066,0.6499570017,0.3300936885,0.5988870856,0.02179082734,0.7912420435,1.409399435,0.9590755971,0.4485915692,0.9184288513,0.880229371,0.2800812087,0.6168535133,0.761881421,0.7529665106,0.8672018082,0.6737999814,0.3935442364,0.806199108,0.5745378043,0.7738779527,0.1476171648
1980-12-01T00:00:00Z,19.20935894,18.15296551,17.48176564,18.5962438,17.1485312,16.57322029,19.30734435,17.64714019,18.2269997,18.55741281,17.28643817,17.94620448,19.01600071,18.1948756,18.70565522,18.34022706,19.2192453,1.047295648,3.378146421,1.307834856,0.289415546,0.6322155306,0.7051877729,0.1407465893,0.5316181404,1.011929938,0.9646740441,1.133048909,0.5810607681,0.3175022541,0.9358939348,0.7207046264,0.9181472566,0.01343527801,1.023374637,1.837973455,1.143606076,0.5379735551,0.7951198215,0.8397545909,0.375162084,0.7291214853,1.005947284,0.982178214,1.064447702,0.7622734209,0.5634733836,0.9674161125,0.848943241,0.9582000086,0.1159106467
1981-1-01T00:00:00Z,17.33282053,16.19620695,15.38677965,16.84599089,15.29667428,14.25118642,17.35899268,15.59256458,16.31490546,16.58638083,15.26721141,15.98292141,17.15159971,16.25409618,16.78471264,16.53219001,17.24132077,1.107612624,4.150710593,1.920323222,0.3587702817,1.368720031,1.531783185,0.100363253,0.8704684472,1.288857274,1.349324576,1.641015186,0.9338377495,0.2902733743,1.220773432,0.8437679119,1.157658436,0.02868695659,1.052431767,2.03732928,1.385757274,0.5989743581,1.169923088,1.237652288,0.3168015988,0.9329889856,1.135278501,1.161604311,1.28102115,0.966352808,0.5387702426,1.104886162,0.9185684035,1.075945369,0.1693722427
1981-2-01T00:00:00Z,17.27525638,16.11200002,15.13349856,16.58788706,14.88545156,14.0162712,17.30831498,15.23885608,16.07548405,16.44318314,14.93383876,15.71199706,17.03144182,16.04832504,16.70110343,16.29536002,17.33528303,1.300168529,4.858079568,2.161004023,0.4841085318,1.191225668,1.305565729,0.1305279357,0.8749049945,1.560768578,1.610774096,1.882222812,1.131258681,0.3972488044,1.553852719,1.282609725,1.457319982,0.0293494771,1.140249328,2.204105163,1.470035381,0.6957790826,1.091432851,1.142613552,0.3612865009,0.9353635627,1.249307239,1.269162754,1.371941257,1.06360645,0.6302767681,1.246536289,1.132523609,1.207195089,0.1713168909
1981-3-01T00:00:00Z,16.08756408,15.10565514,14.06752588,15.17194968,13.94668697,13.35830506,16.12441393,13.92867152,14.86969235,15.26082848,13.94389088,14.40471497,15.88229317,14.77232173,15.39977012,15.00526144,16.17537743,1.325497923,3.656310102,1.590525048,0.7773611003,0.6902198093,0.7294345178,0.1835360109,0.4743045316,1.424173614,1.446950052,1.392005902,1.036038555,0.5295525242,1.618464579,1.478346574,1.399648396,0.03591353845,1.151302707,1.912148033,1.261160199,0.8816808381,0.8307946854,0.854069387,0.4284110303,0.688697707,1.193387453,1.202892369,1.179832998,1.017859792,0.7277035964,1.272188893,1.215872762,1.183067368,0.1895086765
1981-4-01T00:00:00Z,17.53205131,17.4156552,17.74246298,18.15475266,17.69045916,17.34338971,17.56164835,17.80127309,17.80738074,17.73361919,17.69316425,17.9692767,17.71647443,17.89636814,17.7490345,17.99547954,17.70028314,0.360298323,0.1858466887,0.1851700662,0.2553689067,0.1990416719,0.1057614109,0.1253899523,0.1059981907,0.1380866193,0.1027254168,0.1738417693,0.1537860658,0.1471991301,0.1379534928,0.2180703379,0.3311184611,0.1136972046,0.600248551,0.4310993953,0.4303139159,0.5053403869,0.4461408655,0.3252097951,0.354104437,0.3255736333,0.3716000798,0.3205080604,0.4169433646,0.3921556652,0.3836653882,0.3714209106,0.4669800187,0.5754289366,0.3371901609
1981-5-01T00:00:00Z,17.48756414,17.81951729,19.01286448,19.19916723,19.65971839,19.07711876,17.57899267,19.07053501,18.6850607,18.16312501,19.15518782,19.13851417,18.16837624,18.85737976,17.86188503,19.01164327,17.26066037,1.86529304,1.252982411,0.8572312827,0.8707449586,0.3404528111,0.2042409335,0.9223944172,0.3608150061,1.3131742,1.181515665,0.978224772,0.7510015463,1.207171442,0.9877082906,2.043889734,1.320083584,0.4863722444,1.365757314,1.119366969,0.9258678538,0.9331371596,0.5834833426,0.4519302307,0.9604136698,0.6006787878,1.145938131,1.086975467,0.9890524617,0.8666034539,1.098713539,0.9938351425,1.429646716,1.148948904,0.6974039321
1981-6-01T00:00:00Z,22.53602556,23.57020691,25.97015277,25.49304875,26.31568492,26.63627123,22.41831502,26.43651291,24.85280554,23.98777617,26.03198246,25.97066813,23.45426709,25.32582091,23.53075865,25.23162833,22.1264152,5.852257207,6.824423324,3.846016661,3.363899803,0.6435441843,0.9783386422,1.777183612,2.027862232,4.777669343,4.649582199,4.0101915,2.936628896,3.029667394,4.238337116,7.944563101,4.723760456,0.967690855,2.4191439,2.612359723,1.961126376,1.834093728,0.802212057,0.9891100253,1.333110502,1.424030278,2.185788037,2.156288988,2.002546254,1.713659504,1.740593977,2.058722205,2.818610136,2.173421371,0.9837127909
1981-7-01T00:00:00Z,20.54102563,22.18634484,25.68096873,24.61211338,25.86148403,26.85033895,20.38719781,26.50023986,23.86298896,22.66661338,25.67537427,25.55599485,21.70905936,24.62618573,22.06873561,24.32418884,19.99141506,12.00642659,17.27073784,9.170211523,7.837156905,2.079631534,2.921003238,3.055020611,5.272393687,10.24138246,10.21875132,8.947852007,7.185820897,5.55481104,10.11113348,17.08836187,10.60323655,1.673321706,3.46502909,4.155807724,3.028235711,2.799492259,1.442092762,1.709094274,1.747861725,2.296169351,3.200216003,3.19667817,2.991296041,2.680638151,2.356864663,3.179800855,4.133807188,3.256261131,1.293569366
