Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1980, BS1, 1, 88.24, 12.93, 0, 365, 0, 
1981, BS1, 1, 46.4, 12.98, 0, 365, 0, 
1982, BS1, 1, 40.57, 13.42, 0, 365, 0, 
1983, BS1, 1, 53.27, 13.45, 0, 365, 0, 
1984, BS1, 1, 51.32, 13.29, 0, 365, 0, 
1985, BS1, 1, 111.96, 14.18, 0, 365, 0, 
1986, BS1, 1, 53.27, 13.45, 0, 365, 0, 
1987, BS1, 1, 50.39, 14, 0, 365, 0, 
1988, BS1, 1, 95.85, 14.09, 0, 365, 0, 
1989, BS1, 1, 53.83, 13.08, 0, 365, 0, 
1990, BS1, 1, 50.39, 14, 0, 365, 0, 
1991, BS1, 1, 72.82, 13.33, 0, 316, 0, 
1992, BS1, 1, 33.99, 13.28, 0, 365, 0, 
1993, BS1, 1, 67.51, 13.66, 0, 365, 0, 
1994, BS1, 1, 95.85, 14.09, 0, 365, 0, 
1995, BS1, 1, 46.4, 12.98, 0, 365, 0, 
1996, BS1, 1, 53.35, 13.33, 0, 310, 0, 
1997, BS1, 1, 65.39, 14.26, 0, 365, 0, 
1998, BS1, 1, 72.94, 13.6, 0, 365, 0, 
1999, BS1, 1, 72.94, 13.6, 0, 365, 0, 
2000, BS1, 1, 62.71, 13.59, 0, 365, 0, 
2001, BS1, 1, 36.6, 13.21, 0, 331, 0, 
2002, BS1, 1, 72.94, 13.6, 0, 365, 0, 
2003, BS1, 1, 53.27, 13.45, 0, 365, 0, 
2004, BS1, 1, 62.95, 14.6, 0, 365, 0, 
2005, BS1, 1, 33.31, 13.18, 0, 340, 0, 
2006, BS1, 1, 72.82, 13.33, 0, 316, 0, 
2007, BS1, 1, 111.96, 14.18, 0, 365, 0, 
2008, BS1, 1, 62.95, 14.6, 0, 348, 0, 
2009, BS1, 1, 46.4, 12.98, 0, 365, 0, 
2010, BS1, 1, 33.99, 13.28, 0, 365, 0, 
2011, BS1, 1, 125.73, 13.8, 0, 365, 0, 
2012, BS1, 1, 68, 13.54, 0, 365, 0, 
2013, BS1, 1, 72.82, 13.33, 0, 317, 0, 
2014, BS1, 1, 53.83, 13.08, 0, 365, 0, 
2015, BS1, 1, 49.54, 12.62, 0, 365, 0, 
